id;Name;SMILE;Taste;Reference;Note
0;ACHILLIN;C[C@H]1C(=O)O[C@H]2[C@H]1CCC(=C1[C@@H]2C(=CC1=O)C)C;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
1;Acteoside;OC[C@H]1O[C@@H](OCCc2ccc(c(c2)O)O)[C@@H]([C@H]([C@@H]1OC(=O)/C=C/c1ccc(c(c1)O)O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)O;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
2;Aloenin;OC[C@H]1O[C@@H](Oc2cc(O)cc(c2c2cc(OC)cc(=O)o2)C)[C@@H]([C@H]([C@@H]1O)O)O;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
3;BIS(ACETIC ACID)_TANNINS;O=C(c1cc(O)c(c(c1)OC(=O)c1cc(O)c(c(c1)O)O)O)OC1C(COC(=O)c2cc(O)c(c(c2)OC(=O)c2cc(O)c(c(c2)O)O)O)OC(C(C1OC(=O)c1cc(O)c(c(c1)OC(=O)c1cc(O)c(c(c1)O)O)O)OC(=O)c1cc(O)c(c(c1)OC(=O)c1cc(O)c(c(c1)O)O)O)OC(=O)c1cc(O)c(c(c1)OC(=O)c1cc(O)c(c(c1)O)O)O.CC(=O)O.CC(=O)O;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
4;BRUCEIN B;COC(=O)[C@@]12OC[C@]34C2[C@@H](OC(=O)C)C(=O)OC4C[C@@H]2[C@]([C@H]3[C@H]([C@@H]1O)O)(C)CC(=O)C(=C2C)O;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
5;Bruceine C;COC(=O)[C@@]12OC[C@]34[C@H]2[C@@H](OC(=O)/C=C(/C(O)(C)C)\C)C(=O)O[C@@H]4C[C@@H]2[C@]([C@H]3[C@H]([C@@H]1O)O)(C)CC(=O)C(=C2C)O;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
6;Carnosifloside III;OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC/C(=C/CC[C@H]([C@H]3CC[C@@]4([C@]3(C)CC(=O)[C@@]3([C@H]4CC=C4[C@H]3CC[C@@H](C4(C)C)O[C@@H]3O[C@H](CO)[C@H]([C@@H]([C@H]3O)O)O)C)C)C)/C)[C@@H]([C@H]([C@@H]2O)O)O)[C@@H]([C@H]([C@@H]1O)O)O;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
7;Catalpol;OC[C@H]1O[C@@H](O[C@@H]2OC=C[C@@H]3[C@H]2[C@@]2(CO)O[C@H]2[C@H]3O)[C@@H]([C@H]([C@@H]1O)O)O;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
8;Catalposide;OC[C@H]1O[C@@H](O[C@@H]2OC=C[C@@H]3[C@H]2[C@@]2(CO)O[C@H]2[C@H]3OC(=O)c2ccc(cc2)O)[C@@H]([C@H]([C@@H]1O)O)O;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
9;Centapicrin;C=C[C@H]1[C@@H](OC=C2[C@H]1CCOC2=O)O[C@@H]1O[C@H](COc2cccc(c2)C(=O)O)[C@H]([C@@H]([C@H]1O)OC(=O)C)O;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
10;Chaparrinone;O=C1O[C@@H]2C[C@H]3C(=CC(=O)[C@H]([C@@]3([C@@H]3[C@@]42[C@@H](C1)[C@@H](C)[C@H]([C@@]3(OC4)O)O)C)O)C;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
11;Digallic acid;O=C(c1cc(O)c(c(c1)O)O)Oc1cc(cc(c1O)O)C(=O)O;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
12;digitoxin;O=C1OCC(=C1)[C@H]1CC[C@]2([C@]1(C)CC[C@H]1[C@H]2CC[C@H]2[C@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O)O;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
13;Erythrocentaurin;O=Cc1cccc2c1CCOC2=O;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
14;Germacranolide;C/C/1=C/[C@H]2OC(=O)[C@H]([C@@H]2[C@H](/C=C(\[C@H](CC1)O)/C)O)C;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
15;Hydroxyvernolide;OCC(=C)C(=O)O[C@H]1C[C@]23O[C@@H]3CC/C(=C/[C@@H]3[C@@H]1C(=C)C(=O)O3)/CO[C@H]2O;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
16;Hymenoside A;OC/C=C(/CO[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1OC(=O)Cc1ccc(cc1)O)OC(=O)Cc1ccc(cc1)O)O)\C;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
17;Hymenoside B;OC/C=C(/CO[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1OC(=O)Cc1ccc(c(c1)O)O)OC(=O)Cc1ccc(c(c1)O)O)O)\C;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
18;Hymenoside C;OC/C=C(/CO[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1OC(=O)Cc1ccc(c(c1)O)O)OC(=O)Cc1ccc(cc1)O)O)\C;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
19;Hymenoside D;OC/C=C(/CO[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1OC(=O)Cc1ccc(cc1)O)OC(=O)Cc1ccc(c(c1)O)O)O)\C;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
20;Hymenoside E;OC/C=C(/CO[C@@H]1O[C@H](COC(=O)Cc2ccc(c(c2)O)O)[C@H]([C@@H]([C@H]1OC(=O)Cc1ccc(c(c1)O)O)O)O)\C;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
21;Hymenoside F;OC/C=C(/CO[C@@H]1O[C@H](COC(=O)Cc2ccc(c(c2)O)O)[C@H]([C@@H]([C@H]1OC(=O)Cc1ccc(c(c1)O)O)OC(=O)Cc1ccc(cc1)O)O)\C;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
22;Isocoumarin;O=c1occc2c1cccc2;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
23;Klaineanone;O=C1O[C@@H]2C[C@H]3C(=CC(=O)[C@H]([C@@]3([C@@H]3[C@@]2([C@@H](C1)[C@@H](C)[C@H]([C@@H]3O)O)C)C)O)C;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
